run_id,config_id,proposal_family,condition_role,same_model,n_agents,competition_level,replicate_id,field_id,random_seed,position,agent_id,utility,run_mean_utility,utility_minus_run_mean,consensus_reached,final_round,result_path,output_dir
config_0002,2,proposal1_invasion,control,gpt-5-nano,3,0.0,1,,4255,1,Agent_1,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control
config_0002,2,proposal1_invasion,control,gpt-5-nano,3,0.0,1,,4255,2,Agent_2,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control
config_0002,2,proposal1_invasion,control,gpt-5-nano,3,0.0,1,,4255,3,Agent_3,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control
config_0004,4,proposal1_invasion,control,gpt-5-nano,3,0.0,2,,4281,1,Agent_1,90.0,90.0,0.0,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control
config_0004,4,proposal1_invasion,control,gpt-5-nano,3,0.0,2,,4281,2,Agent_2,90.0,90.0,0.0,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control
config_0004,4,proposal1_invasion,control,gpt-5-nano,3,0.0,2,,4281,3,Agent_3,90.0,90.0,0.0,True,2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control
config_0006,6,proposal1_invasion,control,gpt-5-nano,3,0.0,3,,4307,1,Agent_1,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control
config_0006,6,proposal1_invasion,control,gpt-5-nano,3,0.0,3,,4307,2,Agent_2,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control
config_0006,6,proposal1_invasion,control,gpt-5-nano,3,0.0,3,,4307,3,Agent_3,100.0,100.0,0.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control
config_0008,8,proposal1_invasion,control,gpt-5-nano,3,0.0,4,,4333,1,Agent_1,79.0,93.0,-14.0,True,1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_04/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_04/control
