path,roles,audit_ids
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T03-07-47-01a00965-e540-7793-b5fb-8855fc267c3c.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-14-01a00999-9230-7233-a7be-f502dd750372.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-20-01a00999-a9b4-7b50-bb19-5460c16bc1a4.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-26-01a00999-bf15-71d3-a534-8e1ad50c3b67.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-32-01a00999-d6db-78c2-98db-7e5f44e342e4.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-37-01a00999-eb19-7b23-930b-bbe5590bfa80.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-44-01a0099a-077a-72f3-8f2a-65cd26fc2dee.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-49-01a0099a-1c6f-7be1-8690-67dde8ad5146.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-04-55-01a0099a-33cc-7181-b8e2-aabefcac5d05.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-01-01a0099a-487b-7120-9499-d7d7daf3d3f5.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-07-01a0099a-6071-77f0-818a-6d2dce46c81b.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-12-01a0099a-755a-7271-ad85-fbb2c2534e1e.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-18-01a0099a-8a3a-7483-827e-0b6dd6094e7a.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-23-01a0099a-9de3-7743-a106-4cf4c63d746a.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-05-28-01a0099a-b316-78e3-b992-a001b6bbfdd7.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T04-06-21-01a0099b-807b-7923-8b3f-97c4805bfa71.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/16/rollout-2026-08-16T19-48-17-01a00cf9-e09c-7720-adb7-495b7f02c2cd.jsonl,provenance,e29
/home/jz4391/.codex/sessions/2026/08/17/rollout-2026-08-17T02-06-43-01a00e54-55d3-7b90-a045-c06c7980615e.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/17/rollout-2026-08-17T05-11-58-01a00efd-f2bb-7ce3-8dc1-d823598cd9b2.jsonl,provenance,e29
/home/jz4391/.codex/sessions/2026/08/22/rollout-2026-08-22T23-49-11-01a02cbc-9630-7072-849f-30faa4c8f918.jsonl,provenance,e26
/home/jz4391/.codex/sessions/2026/08/30/rollout-2026-08-30T05-06-19-01a051eb-70ad-7e22-b39e-1f7d38216291.jsonl,provenance,e30
/home/jz4391/openrouter_proxy/processed/request_1788064049153766519_d3858be6b17d426e959ef9b080777584.json,provenance,e30
/home/jz4391/openrouter_proxy/processed/request_1788064049160985247_8912c67c18774a4aac8dbc5f674d1848.json,provenance,e30
/home/jz4391/openrouter_proxy/processed/request_1788064049169922097_a5cce9822e184e9bbb6206440974f1fd.json,provenance,e30
/home/jz4391/openrouter_proxy/processed/request_1788064049173464771_8e105aee90ea4f7b97247ec5c2635f76.json,provenance,e30
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/notification.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/post_tool_use.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/pre_tool_use_simple.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/stop.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/subagent_stop.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/format-python.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/notify.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/validate-file-organization.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/validate-no-mock.py,support,e43;e44
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/settings.json,support,e43;e44
