run_id,n_agents,competition_level,first_minus_last,outcome_class,primary_takeaway,transcript_path,result_path
config_0002,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0002.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control/experiment_results.json
config_0004,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0004.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control/experiment_results.json
config_0006,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0006.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control/experiment_results.json
config_0008,3,0.0,-21.0,first_lt_last_counterexample,Counterexample at low competition: the last position beats Agent_1 in a setting where complementary preferences often make order less decisive.,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0008.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_04/control/experiment_results.json
config_0010,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0010.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_05/control/experiment_results.json
config_0012,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0012.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_06/control/experiment_results.json
config_0014,3,0.0,9.0,first_gt_last,"Agent_1 outperforms the last position and the final allocation matches Agent_1's formal proposal, suggesting persistence of the early formal allocation.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0014.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_07/control/experiment_results.json
config_0016,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0016.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_08/control/experiment_results.json
config_0018,3,0.0,0.0,first_eq_last,"No first-last payoff gap: the trajectory neutralizes order, usually through complementary top-item allocation or convergent proposals.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0018.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_09/control/experiment_results.json
config_0020,3,0.0,-20.700000000000003,first_lt_last_counterexample,Counterexample at low competition: the last position beats Agent_1 in a setting where complementary preferences often make order less decisive.,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0020.md,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_10/control/experiment_results.json
