run_id,config_id,n_agents,competition_level,replicate_id,field_id,random_seed,result_path,output_dir,1,2,3,4,5,utility_pos_1,utility_pos_2,utility_pos_3,first_minus_last,first_gt_last,first_eq_last,first_lt_last,high_competition,utility_pos_4,utility_pos_5,agent1_opening_anchor_language,later_alignment_language,quick_resolution_frame,efficiency_top_items_frame,later_concession_language,raw_interactions_loaded,private_thinking_entries,raw_formal_proposal_entries,private_voting_entries,reflection_entries,transcript_path,consensus_reached,final_round,num_conversation_entries,num_formal_proposals,accepted_proposal_index,accepted_by,accepted_position,all_formal_proposals_identical,final_matches_agent1_formal_proposal,final_matches_accepted_formal_proposal,agent1_formal_proposal_utility,agent1_formal_proposal_advantage_vs_proposal_mean,agent1_received_top_item,last_agent_received_top_item,agent1_max_single_item_value,last_agent_max_single_item_value,agent1_final_item_count,last_agent_final_item_count,agents_receiving_top_item_count,one_item_per_agent_final
config_0002,2,3,0.0,1,,4255,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_01/control,100.0,100.0,100.0,,,100.0,100.0,100.0,0.0,False,True,False,False,,,True,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0002.md,True,1,11,3,3,Agent_3,3,True,True,True,100.0,0.0,True,True,58.0,100.0,2,1,3,False
config_0004,4,3,0.0,2,,4281,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_02/control,90.0,90.0,90.0,,,90.0,90.0,90.0,0.0,False,True,False,False,,,False,True,True,True,True,True,6,6,18,3,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0004.md,True,2,22,6,3,Agent_3,3,False,False,False,100.0,33.33333333333333,True,True,100.0,54.0,1,2,3,False
config_0006,6,3,0.0,3,,4307,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_03/control,100.0,100.0,100.0,,,100.0,100.0,100.0,0.0,False,True,False,False,,,True,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0006.md,True,1,11,3,3,Agent_3,3,False,False,True,100.0,33.33333333333333,True,True,100.0,47.0,1,3,3,False
config_0008,8,3,0.0,4,,4333,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_04/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_04/control,79.0,100.0,100.0,,,79.0,100.0,100.0,-21.0,False,False,True,False,,,True,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0008.md,True,1,11,3,3,Agent_3,3,False,False,False,79.0,19.333333333333336,True,True,49.0,100.0,2,2,3,False
config_0010,10,3,0.0,5,,4359,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_05/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_05/control,100.0,100.0,100.0,,,100.0,100.0,100.0,0.0,False,True,False,False,,,True,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0010.md,True,1,11,3,3,Agent_3,3,False,False,True,100.0,33.33333333333333,True,True,70.0,70.0,2,2,3,False
config_0012,12,3,0.0,6,,4385,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_06/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_06/control,90.0,90.0,90.0,,,90.0,90.0,90.0,0.0,False,True,False,False,,,True,True,True,True,True,True,6,6,18,3,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0012.md,True,2,22,6,3,Agent_3,3,False,True,False,100.0,33.33333333333333,True,True,100.0,56.0,1,2,3,False
config_0014,14,3,0.0,7,,4411,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_07/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_07/control,90.0,90.0,81.0,,,90.0,90.0,81.0,9.0,True,False,False,False,,,True,True,True,True,True,True,6,6,18,3,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0014.md,True,2,22,6,3,Agent_3,3,False,True,True,100.0,3.3333333333333286,True,True,100.0,71.0,1,2,3,False
config_0016,16,3,0.0,8,,4437,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_08/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_08/control,100.0,100.0,100.0,,,100.0,100.0,100.0,0.0,False,True,False,False,,,False,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0016.md,True,1,11,3,3,Agent_3,3,False,False,False,100.0,33.33333333333333,True,True,100.0,69.0,1,2,3,False
config_0018,18,3,0.0,9,,4463,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_09/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_09/control,100.0,100.0,100.0,,,100.0,100.0,100.0,0.0,False,True,False,False,,,True,True,True,True,True,True,3,3,9,0,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0018.md,True,1,11,3,3,Agent_3,3,False,False,True,100.0,33.33333333333333,True,True,100.0,55.0,1,2,3,False
config_0020,20,3,0.0,10,,4489,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_10/control/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_claude-opus-4-6-thinking/n_3/comp_0/rep_10/control,69.3,90.0,90.0,,,69.3,90.0,90.0,-20.700000000000003,False,False,True,False,,,True,True,True,True,True,True,6,6,18,3,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/transcripts/config_0020.md,True,2,22,6,3,Agent_3,3,False,False,False,77.0,18.0,True,True,77.0,100.0,1,1,3,False
